School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number
6702229,Ysgol Gymraeg Y Login Fach,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Roseland Road,Waunarlwydd,Abertawe,,SA5 4ST,01792 874399
6702231,Y.G.G. Tirdeunaw,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Ddu,Treboeth,Abertawe,,SA5 7HW,01792 774612
6702232,Y.G.G. Gellionnen,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gellionnen Road,Clydach,Swansea,,SA6 5HE,01792 845489
6702233,Gors Community School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gors Avenue,Cockett,Swansea,,SA1 6SF,01792 522202
6702234,Sea View Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Creidiol Road,Mayhill,Swansea,,SA1 6TZ,01792 650703
6702235,Y.G.G. Llwynderw,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,West Cross Lane,West Cross,Swansea,,SA3 5LS,01792 407130
6702236,Birchgrove Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Nant Bran,Birchgrove,Swansea,,SA7 9LH,01792 814814
6702237,Dunvant Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dunvant Road,Dunvant,Swansea,,SA2 7SN,01792 207336
6702238,Gwyrosydd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Hill Terrace,Treboeth,Swansea,,SA5 7DN,01792 797117
6702239,St Thomas Community Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Grenfell Park Road,St Thomas,Swansea,,SA1 8EZ,01792 650052
6702240,Gowerton Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Mount Street,Gowerton,Swansea,,SA4 3GE,01792 872439
6702241,Pentre’r Graig Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Morriston,Swansea,,SA6 6HY,01792 771831
6702242,Ysgol Gymraeg Tan-y-lan,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tan-y-lan Terrace,Morriston,Swansea,,SA6 7DU,01792 772800
6702243,Burlais Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gerddi Alexander,Cwmbwrla,Swansea,,SA5 8BN,01792 652350
6702244,Clydach Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sybil Street,Clydach,Swansea,,SA6 5EU,01792 843356
6702245,Ysgol Gymraeg y Cwm,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Jersey Road,Bonymaen,Swansea,,SA1 7DL,01792 650326
6702246,Gorseinon Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,High Street,Gorseinon,Swansea,,SA4 4BN,01792 892739
6702247,Brynhyfryd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangyfelach Road,Brynhyfryd,Swansea,,SA5 9LN,01792 650192
6703303,St. David's Rc Primary School,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,West Cross Avenue,West Cross,Swansea,,SA3 5TS,01792 512212
6703305,St Illtyds Primary,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Jersey Road,Bonymaen,Swansea,,SA1 7DG,01792 462104
6703306,Christchurch Church In Wales,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Rodney Street,Swansea,,,SA1 3UA,01792 510900
6703308,St Joseph's R.C. Primary,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Pontardawe Road,Clydach,Swansea,,SA6 5NX,01792 842494
6703309,St Josephs Cathedral Primary School,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Caepistyll Street,Greenhill,Swansea,,SA1 2BE,01792 653609
6704031,Cefn Hengoed,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caldicot Road,Winch Wen,Swansea,,SA1 7HX,01792 773464
6704032,Olchfa School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Gower Road,Sketty,Swansea,,SA2 7AB,01792 534300
6704033,Morriston Comprehensive,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Maes Eglwys,Morriston,Swansea,,SA6 6NH,01792 797745
6704043,Pentrehafod School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pentremawr Road,Hafod,Swansea,,SA1 2NN,01792 410400
6704044,Bishop Gore School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,De-La-Beche Road,Sketty,Swansea,,SA2 9AP,01792 411400
6704062,Penyrheol Comprehensive School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pontarddulais Road,Gorseinon,Swansea,,SA4 4FG,01792 533066
6704063,Gowerton Comprehensive School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Cecil Road,Gowerton,Swansea,,SA4 3DL,01792 873461
6704069,Bishopston Comprehensive,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,The Glebe,Bishopston,Swansea,,SA3 3JP,01792 234121
6704072,Pontarddulais Comprehensive School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caecerrig Road,Pontarddulais,Swansea,,SA4 8PD,01792 884556
6704074,Ysgol Gyfun Gwyr,670,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Talbot Street,Tregwyr,Abertawe,,SA4 3DD,01792 872403
6704075,Birchgrove,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Birchgrove Road,Birchgrove,Swansea,,SA7 9NB,01792 535400
6704076,Dylan Thomas Community School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,John Street,Cockett,Swansea,,SA2 0FR,01792 610300
6704078,Ysgol Gyfun Gymraeg Bryn Tawe,670,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Gywrosydd,Penlan,Swansea,,SA5 7BU,01792 560600
6704600,Bishop Vaughan School,670,Swansea,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Mynydd Garnlwyd Road,Morriston,Swansea,,SA6 7QG,01792 772006
6707000,Ysgol Pen-y-Bryn,670,Swansea,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Glasbury Road,Morriston,Swansea,,SA6 7PA,01792 799064
6707008,Ysgol Crug Glas,670,Swansea,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Croft Street,Swansea,,,SA1 1QA,01792 652388
